"","patent_id","ipc_section"
"1249","10000780","C"
"1250","10000781","C"
"1251","10000782","C"
"1252","10000783","C"
"1253","10000783","A"
"1254","10000784","C"
"1255","10000784","B"
"1256","10000784","G"
"1257","10000785","C"
"1258","10000785","G"
"1259","10000786","C"
"1260","10000786","G"
"1261","10000787","C"
"1262","10000787","A"
"1263","10000787","G"
"1264","10000788","C"
"1265","10000788","B"
"1266","10000788","G"
"1267","10000789","C"
"1268","10000789","H"
"1269","10000789","G"
"1270","10000790","C"
"1271","10000791","C"
"1272","10000792","C"
"1273","10000792","G"
"1274","10000793","C"
"1275","10000793","G"
"1276","10000794","C"
"1277","10000794","B"
"1278","10000795","C"
"1279","10000796","C"
"1280","10000797","C"
"1281","10000798","C"
"1282","10000799","C"
"1283","10000800","C"
"1284","10000801","C"
"1285","10000802","C"
"1286","10000803","C"
"1287","10000804","C"
"1288","10000804","B"
"1289","10000804","G"
"1290","10000805","C"
"1291","10000805","G"
"1292","10000805","B"
"1293","10000806","C"
"1294","10000807","C"
"1295","10000808","C"
"1296","10000809","G"
"1297","10000809","C"
"1298","10000810","C"
"1299","10000810","G"
"1300","10000811","C"
"1301","10000812","C"
"1302","10000812","A"
"1303","10000813","C"
"1304","10000814","C"
"1305","10000814","A"
"1306","10000814","G"
"1307","10000815","C"
"1308","10000815","G"
"1309","10000816","C"
"1310","10000817","C"
"1311","10000818","C"
"1312","10000818","A"
"1313","10000819","C"
"1314","10000820","C"
"1315","10000820","A"
"1316","10000821","C"
"1317","10000822","C"
"1318","10000822","B"
"1319","10000823","C"
"1320","10000824","C"
"1321","10000825","C"
"1322","10000825","B"
"1323","10000826","C"
"1324","10000827","B"
"1325","10000827","C"
"1326","10000828","C"
"1327","10000828","B"
"1328","10000828","F"
"1329","10000829","C"
"1330","10000830","C"
"1331","10000831","C"
"1332","10000832","C"
"1333","10000833","C"
"1334","10000834","C"
"1335","10000835","B"
"1336","10000835","C"
"1337","10000836","C"
"1338","10000836","B"
"1339","10000837","C"
"1340","10000837","B"
"1341","10000838","C"
"1342","10000838","F"
"1343","10000839","B"
"1344","10000839","C"
"1345","10000840","F"
"1346","10000840","C"
"1347","10000841","B"
"1348","10000841","C"
"1349","10000842","H"
"1350","10000842","C"
"1351","10000843","C"
"1352","10000843","A"
"1353","10000844","C"
"1354","10000844","H"
"1355","10000845","C"
"1356","10000845","H"
"1357","10000846","C"
